# CRC MEDLANKY DEFAULT (Data loaded from a file)
# 727 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (22,9 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.541,286.799,73.169,-16.4,79.47,16.635,96.872,0.02,96.872,0.012,31.013,2.786,49.217,16.501,9.808,0.115,-9.024e-5,-1.146,-0.019,856,166,0.024,8.095e-4,545,417,2.032,0.241,3.69e6,0,6.113,0.508,0.508,0.223,0.158,0.128,0.032,0.065,-4.705e-4,0,0,0,0,-6.392e-6,0.008,63,30,63.541,0.02,5.199,11.186,944.9,338.077,0.028,0.064
4.575,289.231,72.626,-16.143,78.932,16.434,97.905,0.02,97.905,0.012,30.916,3.077,49.217,16.501,9.808,0.017,-8.755e-5,0.802,-0.057,856,166,0.024,8.095e-4,546,417,2.036,0.24,3.664e6,0,6.027,0.508,0.508,0.223,0.158,0.127,0.005,0.01,5.345e-5,0,0,0,0,2.865e-6,0.008,63,30,63.598,0.018,5.157,11.17,944.6,338.068,0.033,0.064
4.625,292.843,71.829,-15.859,78.134,16.202,99.447,0.021,99.447,0.012,30.751,3.319,49.217,16.501,9.808,0.057,-1.199e-4,2.349,0.014,856,166,0.024,8.095e-4,546,417,2.033,0.237,3.627e6,0,5.901,0.508,0.508,0.223,0.158,0.127,0.02,0.04,-3.851e-4,0,0,0,0,2.641e-5,0.008,63,30,63.598,0.016,5.091,11.147,944.2,338.054,0.05,0.064
4.662,295.549,71.232,-15.794,77.536,16.116,100.608,0.021,100.608,0.012,30.623,3.206,49.217,16.501,9.808,0.048,-8.824e-5,4.641,-0.006,856,166,0.024,8.095e-4,546,417,2.034,0.236,3.598e6,0,5.808,0.508,0.508,0.223,0.157,0.127,0.014,0.028,-4.784e-4,0,0,0,0,1.064e-4,0.008,63,30,63.484,0.018,5.054,11.129,943.9,338.043,0.038,0.065
4.712,299.091,70.441,-15.791,76.75,16.056,102.135,0.022,102.135,0.012,30.474,2.9,49.217,16.501,9.808,0.029,-5.953e-5,-2.807,-0.115,856,166,0.024,8.095e-4,546,417,2.035,0.233,3.562e6,0,5.689,0.507,0.507,0.223,0.157,0.127,0.009,0.018,3.454e-5,0,0,0,0,-3.892e-5,0.008,63,30,63.197,0.022,5.025,11.106,943.5,338.029,0.05,0.065
4.762,302.593,69.654,-15.637,75.971,15.907,103.655,0.023,103.655,0.012,30.33,2.919,49.217,16.501,9.808,0.012,-1.368e-4,-3.552,0.002,856,166,0.024,8.095e-4,546,417,2.035,0.231,3.527e6,0,5.578,0.507,0.507,0.223,0.157,0.127,0.004,0.008,-6.157e-5,0,0,0,0,-6.517e-5,0.008,63,30,63.025,0.021,5.08,11.083,943.1,338.015,0.05,0.065
4.812,306.056,68.875,-15.486,75.2,15.758,105.168,0.023,105.168,0.013,30.186,2.918,49.217,16.501,9.808,0.003,-1.175e-4,2.12,0.859,856,166,0.024,8.095e-4,546,417,2.035,0.229,3.491e6,0,5.463,0.507,0.507,0.223,0.157,0.127,8.012e-4,0.002,9.162e-5,0,0,0,0,2.394e-5,0.008,63,30,62.911,0.019,5.034,11.061,942.8,338.002,0.05,0.065
4.862,309.481,68.104,-15.367,74.435,15.63,106.674,0.024,106.674,0.013,30.04,2.858,49.217,16.501,9.808,0.001,-3.187e-6,-2.75,-0.688,856,166,0.024,8.095e-4,546,417,2.035,0.227,3.455e6,0,5.349,0.507,0.507,0.223,0.157,0.127,3.616e-4,4.459e-4,-1.037e-4,0,0,0,0,-3.971e-5,0.008,63,30,62.796,0.02,4.973,11.038,942.4,337.988,0.05,0.065
4.912,312.867,67.339,-15.214,73.678,15.482,108.172,0.024,108.172,0.013,29.9,2.867,49.217,16.501,9.808,0.018,-7.557e-5,1.662,-0.057,856,166,0.024,8.095e-4,546,417,2.034,0.224,3.419e6,0,5.236,0.506,0.506,0.223,0.157,0.127,0.005,0.011,-1.194e-4,0,0,0,0,1.475e-5,0.008,63,30,62.682,0.022,4.895,11.016,942,337.975,0.05,0.065
4.962,316.215,66.583,-15.037,72.928,15.325,109.664,0.025,109.664,0.013,29.752,2.957,49.217,16.501,9.808,0.057,2.991e-5,4.641,-0.022,856,166,0.024,8.095e-4,545,417,2.032,0.222,3.387e6,0,5.137,0.506,0.506,0.223,0.157,0.126,0.017,0.035,-1.66e-4,0,0,0,0,1.208e-4,0.008,63,30,62.51,0.022,4.994,10.995,941.6,337.962,0.05,0.065
5.012,319.525,65.835,-15.043,72.185,15.284,111.147,0.026,111.147,0.013,29.603,2.701,49.217,16.501,9.808,0.017,-9.523e-5,-7.219,0.229,856,166,0.024,8.095e-4,546,417,2.034,0.22,3.355e6,0,5.041,0.506,0.506,0.223,0.156,0.126,0.005,0.011,1.875e-4,0,0,0,0,-2.943e-4,0.008,63,30,62.223,0.02,5.109,10.973,941.3,337.949,0.05,0.066
5.062,322.798,65.081,-14.997,71.446,15.21,112.624,0.026,112.624,0.013,29.478,2.536,49.217,16.501,9.808,0.057,-4.405e-5,-2.979,0.02,856,166,0.024,8.095e-4,545,417,2.032,0.218,3.322e6,0,4.939,0.506,0.506,0.223,0.156,0.126,0.018,0.036,-4.202e-4,0,0,0,0,-5.16e-5,0.008,63,30,61.879,0.02,5.104,10.952,940.9,337.936,0.05,0.066
5.106,325.605,64.434,-14.799,70.811,15.045,113.9,0.027,113.9,0.014,29.368,2.711,49.217,16.501,9.808,0.008,-5.381e-5,2.865,0.286,856,166,0.024,8.095e-4,546,417,2.034,0.216,3.295e6,0,4.86,0.505,0.505,0.223,0.156,0.126,0.002,0.004,-1.993e-4,0,0,0,0,4.879e-5,0.007,63,30,61.765,0.021,5.215,10.934,940.6,337.925,0.043,0.066
5.156,328.808,63.7,-14.639,70.085,14.9,115.364,0.028,115.364,0.014,29.227,2.775,49.217,16.501,9.808,0.044,-3.241e-5,4.698,-0.057,856,166,0.024,8.095e-4,545,417,2.032,0.214,3.264e6,0,4.766,0.505,0.505,0.223,0.156,0.126,0.013,0.025,-4.457e-4,0,0,0,0,1.325e-4,0.007,63,30,61.65,0.023,5.275,10.913,940.2,337.912,0.05,0.066
5.206,331.975,62.969,-14.636,69.365,14.855,116.822,0.028,116.822,0.014,29.092,2.539,49.217,16.501,9.808,0.029,-8.239e-5,-4.526,-0.172,856,166,0.024,8.095e-4,545,417,2.033,0.212,3.23e6,0,4.667,0.505,0.505,0.223,0.156,0.126,0.008,0.017,-2.686e-4,0,0,0,0,-1.236e-4,0.007,63,30,61.364,0.024,5.235,10.892,939.9,337.9,0.05,0.066
5.256,335.105,62.237,-14.558,68.65,14.761,118.274,0.029,118.274,0.014,28.972,2.442,49.217,16.501,9.808,0.049,-2.011e-4,-2.005,0.055,856,166,0.024,8.095e-4,545,417,2.031,0.21,3.196e6,0,4.568,0.505,0.505,0.223,0.156,0.126,0.014,0.029,1.344e-4,0,0,0,0,-2.482e-5,0.007,63,30,61.192,0.023,5.152,10.872,939.5,337.887,0.05,0.066
5.306,338.199,61.515,-14.324,67.942,14.567,119.719,0.03,119.719,0.014,28.845,2.651,49.217,16.501,9.808,0.044,-8.222e-5,3.209,0.001,856,166,0.024,8.095e-4,545,417,2.031,0.208,3.165e6,0,4.479,0.505,0.505,0.223,0.156,0.126,0.013,0.026,-1.552e-4,0,0,0,0,6.462e-5,0.007,63,30,61.077,0.022,5.205,10.852,939.2,337.875,0.05,0.066
5.356,341.256,60.801,-14.254,67.24,14.48,121.158,0.03,121.158,0.014,28.713,2.547,49.217,16.501,9.808,0.021,-5.775e-5,3.61,0.115,856,166,0.024,8.095e-4,545,417,2.032,0.206,3.132e6,0,4.384,0.504,0.504,0.223,0.156,0.126,0.006,0.012,-3.241e-4,0,0,0,0,8.474e-5,0.007,63,30,60.905,0.022,5.126,10.832,938.8,337.863,0.05,0.067
5.406,344.279,60.091,-14.194,66.544,14.402,122.591,0.031,122.591,0.014,28.587,2.439,49.217,16.501,9.808,0.008,-1.151e-4,-4.24,0.516,856,166,0.024,8.095e-4,545,417,2.033,0.204,3.1e6,0,4.294,0.504,0.504,0.223,0.155,0.125,0.002,0.004,4.008e-4,0,0,0,0,-1.178e-4,0.007,63,30,60.734,0.022,5.105,10.812,938.5,337.851,0.05,0.067
5.456,347.266,59.382,-14.114,65.854,14.312,124.017,0.032,124.017,0.015,28.469,2.368,49.217,16.501,9.808,0.022,-6.016e-5,-3.266,-0.008,856,166,0.024,8.095e-4,545,417,2.032,0.202,3.068e6,0,4.205,0.504,0.504,0.223,0.155,0.125,0.006,0.013,-3.021e-4,0,0,0,0,-7.221e-5,0.007,63,30,60.504,0.023,5.063,10.793,938.2,337.839,0.05,0.067
5.506,350.217,58.681,-13.951,65.169,14.167,125.438,0.032,125.438,0.015,28.348,2.462,49.217,16.501,9.808,0.031,-5.481e-5,4.125,-0.057,856,166,0.024,8.095e-4,545,417,2.031,0.2,3.038e6,0,4.123,0.504,0.504,0.223,0.155,0.125,0.009,0.018,5.444e-6,0,0,0,0,1.157e-4,0.007,63,30,60.332,0.025,5.117,10.774,937.8,337.828,0.05,0.067
5.556,353.134,57.986,-13.874,64.49,14.08,126.852,0.033,126.852,0.015,28.225,2.401,49.217,16.501,9.808,0.019,-1.71e-5,4.813,-0.115,856,166,0.024,8.095e-4,545,417,2.032,0.198,3.008e6,0,4.04,0.504,0.504,0.223,0.155,0.125,0.006,0.011,-2.74e-4,0,0,0,0,1.618e-4,0.007,63,30,60.103,0.024,5.123,10.755,937.5,337.816,0.05,0.067
5.606,356.016,57.293,-13.831,63.816,14.018,128.26,0.034,128.26,0.015,28.107,2.287,49.217,16.501,9.808,0.017,-5.692e-5,-5.042,0.057,856,166,0.024,8.095e-4,545,417,2.032,0.196,2.978e6,0,3.959,0.503,0.503,0.223,0.155,0.125,0.005,0.01,4.723e-4,0,0,0,0,-1.831e-4,0.007,63,30,59.874,0.023,5.133,10.736,937.2,337.805,0.05,0.067
5.656,358.863,56.602,-13.777,63.148,13.949,129.663,0.034,129.663,0.015,27.998,2.185,49.217,16.501,9.808,0.047,-1.042e-4,-3.266,0.044,856,166,0.024,8.095e-4,545,417,2.03,0.194,2.946e6,0,3.875,0.503,0.503,0.223,0.155,0.125,0.014,0.028,2.967e-4,0,0,0,0,-7.77e-5,0.007,63,30,59.645,0.024,5.072,10.717,936.9,337.794,0.05,0.067
5.706,361.676,55.918,-13.585,62.485,13.785,131.06,0.035,131.06,0.015,27.885,2.337,49.217,16.501,9.808,0.036,-1.312e-4,3.61,-0.014,856,166,0.024,8.095e-4,545,417,2.03,0.192,2.918e6,0,3.799,0.503,0.503,0.223,0.155,0.125,0.01,0.022,9.393e-5,0,0,0,0,9.595e-5,0.007,63,30,59.473,0.026,5.123,10.699,936.5,337.783,0.05,0.068
5.756,364.455,55.243,-13.473,61.828,13.678,132.451,0.036,132.451,0.015,27.764,2.356,49.217,16.501,9.808,0.057,-3.967e-5,5.787,-0.057,856,166,0.024,8.095e-4,545,417,2.029,0.19,2.89e6,0,3.725,0.503,0.503,0.223,0.155,0.125,0.017,0.034,-3.789e-4,0,0,0,0,2.513e-4,0.007,63,30,59.301,0.026,5.178,10.681,936.2,337.772,0.05,0.068
5.806,367.2,54.568,-13.543,61.175,13.697,133.837,0.037,133.837,0.016,27.654,2.05,49.217,16.501,9.808,0.057,-4.275e-5,-4.813,-0.03,856,166,0.024,8.095e-4,545,417,2.029,0.188,2.858e6,0,3.642,0.503,0.503,0.223,0.155,0.125,0.02,0.041,-1.766e-4,0,0,0,0,-1.777e-4,0.007,63,30,58.957,0.024,5.053,10.663,935.9,337.761,0.05,0.068
5.856,369.912,53.889,-13.472,60.527,13.618,135.217,0.037,135.217,0.016,27.558,1.984,49.217,16.501,9.808,0.057,-8.915e-5,-1.49,0.021,856,166,0.024,8.095e-4,545,417,2.028,0.186,2.826e6,0,3.561,0.502,0.502,0.223,0.154,0.125,0.024,0.049,4.094e-4,0,0,0,0,-1.82e-5,0.007,63,30,58.785,0.025,4.93,10.646,935.6,337.75,0.05,0.068
5.906,372.589,53.224,-13.143,59.885,13.357,136.592,0.038,136.592,0.016,27.449,2.382,49.217,16.501,9.808,0.115,-8.165e-5,3.266,-0.028,856,166,0.024,8.095e-4,545,417,2.026,0.185,2.8e6,0,3.496,0.502,0.502,0.223,0.154,0.124,0.037,0.075,-1.338e-4,0,0,0,0,8.59e-5,0.006,63,30,58.728,0.026,5.069,10.628,935.3,337.74,0.05,0.068
5.948,374.847,52.67,-12.968,59.343,13.217,137.76,0.039,137.76,0.016,27.339,2.552,49.217,16.501,9.808,0.229,-7.815e-5,7.907,-0.01,856,166,0.024,8.095e-4,545,417,2.021,0.183,2.78e6,0,3.446,0.502,0.502,0.223,0.154,0.124,0.065,0.131,3.554e-4,0,0,0,0,5.139e-4,0.006,63,30,58.499,0.026,5.237,10.613,935.1,337.731,0.043,0.068
5.975,376.25,52.322,-13.103,59.004,13.293,138.49,0.039,138.49,0.016,27.274,2.238,49.217,16.501,9.808,0.057,-1.313e-4,10.542,0.02,856,166,0.024,8.095e-4,545,417,2.028,0.182,2.764e6,0,3.404,0.502,0.502,0.223,0.154,0.124,0.021,0.042,1.825e-4,0,0,0,0,9.227e-4,0.006,63,30,58.27,0.026,5.182,10.604,934.9,337.725,0.027,0.068
6.015,378.338,51.791,-13.315,58.498,13.432,139.582,0.04,139.582,0.016,27.197,1.768,49.217,16.501,9.808,0.172,-1.404e-4,-8.365,0.027,856,166,0.024,8.095e-4,545,417,2.024,0.181,2.74e6,0,3.345,0.502,0.502,0.223,0.154,0.124,0.048,0.097,-2.194e-4,0,0,0,0,-5.876e-4,0.006,63,30,57.869,0.026,5.119,10.591,934.7,337.717,0.04,0.068
6.052,380.206,51.307,-13.327,58.041,13.428,140.567,0.04,140.567,0.016,27.137,1.644,49.217,16.501,9.808,0.229,-1.417e-4,-4.24,0.026,856,166,0.024,8.095e-4,545,417,2.021,0.179,2.719e6,0,3.295,0.502,0.502,0.224,0.154,0.124,0.065,0.131,3.989e-4,0,0,0,0,-1.554e-4,0.006,63,30,57.582,0.026,5.112,10.579,934.5,337.71,0.036,0.069
6.081,381.723,50.913,-13.194,57.67,13.311,141.372,0.041,141.372,0.016,27.087,1.765,49.217,16.501,9.808,0.172,-1.208e-4,-0.859,0.018,856,166,0.024,8.095e-4,545,417,2.024,0.178,2.702e6,0,3.254,0.502,0.502,0.224,0.154,0.124,0.044,0.088,-6.058e-5,0,0,0,0,-6.735e-6,0.006,63,30,57.525,0.027,5.105,10.569,934.3,337.704,0.03,0.069
6.126,383.977,50.333,-12.85,57.117,13.034,142.576,0.041,142.576,0.017,26.999,2.18,49.217,16.501,9.808,0.115,-1.1e-4,0.458,0.005,856,166,0.024,8.095e-4,545,417,2.027,0.177,2.679e6,0,3.197,0.501,0.501,0.224,0.154,0.124,0.027,0.055,-3.691e-4,0,0,0,0,1.678e-6,0.006,63,30,57.525,0.028,5.136,10.554,934.1,337.695,0.045,0.069
6.176,386.478,49.699,-12.596,56.503,12.832,143.923,0.042,143.923,0.017,26.88,2.45,49.217,16.501,9.808,0.286,-3.794e-5,5.844,0.012,856,166,0.024,8.095e-4,545,417,2.019,0.175,2.654e6,0,3.139,0.501,0.501,0.224,0.154,0.124,0.076,0.154,4.838e-4,0,0,0,0,3.038e-4,0.006,63,30,57.41,0.027,5.257,10.538,933.8,337.685,0.05,0.069
6.2,387.668,49.398,-12.537,56.209,12.78,144.568,0.042,144.568,0.017,26.82,2.482,49.217,16.501,9.808,0.286,-1.242e-4,9.855,0.005,856,166,0.024,8.095e-4,545,417,2.018,0.175,2.643e6,0,3.112,0.501,0.501,0.224,0.154,0.124,0.084,0.168,-2.847e-4,0,0,0,0,8.735e-4,0.006,63,30,57.238,0.027,5.337,10.53,933.6,337.68,0.024,0.069
6.226,388.936,49.073,-12.728,55.895,12.901,145.258,0.043,145.258,0.017,26.76,2.105,49.217,16.501,9.808,0.057,-1.191e-4,12.376,0.053,856,166,0.024,8.095e-4,545,417,2.027,0.174,2.628e6,0,3.076,0.501,0.501,0.224,0.154,0.124,0.024,0.047,-4.117e-4,0,0,0,0,0.001,0.006,63,30,56.952,0.027,5.284,10.522,933.5,337.675,0.026,0.069
6.264,390.822,48.575,-13.012,55.425,13.105,146.29,0.043,146.29,0.017,26.691,1.56,49.217,16.501,9.808,0.229,-6.663e-5,-10.256,0.005,856,166,0.024,8.095e-4,545,417,2.02,0.172,2.605e6,0,3.022,0.501,0.501,0.224,0.154,0.124,0.067,0.136,3.53e-4,0,0,0,0,-9.807e-4,0.006,63,30,56.494,0.027,5.19,10.51,933.3,337.668,0.039,0.069
6.294,392.271,48.182,-13.128,55.061,13.193,147.089,0.044,147.089,0.017,26.65,1.302,49.217,16.501,9.808,0.401,-1.075e-4,-5.443,0.017,856,166,0.024,8.095e-4,544,417,2.013,0.171,2.587e6,0,2.98,0.501,0.501,0.224,0.153,0.124,0.11,0.222,2.353e-4,0,0,0,0,-2.772e-4,0.006,63,30,56.207,0.027,5.101,10.5,933.1,337.662,0.03,0.069
6.314,393.229,47.921,-13.043,54.82,13.116,147.62,0.044,147.62,0.017,26.624,1.379,49.217,16.501,9.808,0.344,-1.277e-4,-1.547,0.023,856,166,0.024,8.095e-4,544,417,2.016,0.17,2.576e6,0,2.955,0.501,0.501,0.224,0.153,0.124,0.096,0.193,-3.387e-4,0,0,0,0,-2.202e-5,0.006,63,30,56.15,0.028,5.108,10.494,933,337.658,0.02,0.07
6.338,394.36,47.615,-12.822,54.535,12.928,148.25,0.044,148.25,0.017,26.588,1.652,49.217,16.501,9.808,0.172,-1.21e-4,1.375,0.009,856,166,0.024,8.095e-4,545,417,2.023,0.169,2.565e6,0,2.928,0.501,0.501,0.224,0.153,0.124,0.045,0.092,1.603e-4,0,0,0,0,1.766e-5,0.006,63,30,56.15,0.028,5.148,10.487,932.9,337.654,0.024,0.07
6.373,396.043,47.166,-12.516,54.111,12.678,149.193,0.045,149.193,0.017,26.521,2.015,49.217,16.501,9.808,0.115,-1.161e-4,-1.375,-0.01,856,166,0.024,8.095e-4,545,417,2.026,0.168,2.546e6,0,2.884,0.501,0.501,0.224,0.153,0.124,0.025,0.05,-3.626e-4,0,0,0,0,-1.853e-5,0.006,63,30,56.207,0.029,5.135,10.476,932.7,337.647,0.036,0.07
6.423,398.386,46.548,-12.307,53.519,12.501,150.516,0.046,150.516,0.017,26.412,2.194,49.217,16.501,9.808,0.229,-8.612e-5,3.38,0.014,856,166,0.024,8.095e-4,545,417,2.02,0.166,2.517e6,0,2.82,0.5,0.5,0.224,0.153,0.124,0.065,0.132,-4.252e-5,0,0,0,0,1.139e-4,0.006,63,30,56.207,0.029,5.054,10.46,932.4,337.638,0.05,0.07
6.454,399.833,46.165,-12.275,53.152,12.463,151.34,0.046,151.34,0.018,26.343,2.157,49.217,16.501,9.808,0.229,-1.511e-4,6.875,0.016,856,166,0.024,8.095e-4,545,417,2.02,0.165,2.5e6,0,2.781,0.5,0.5,0.224,0.153,0.124,0.063,0.127,3.119e-5,0,0,0,0,4.784e-4,0.006,63,30,56.035,0.028,5.007,10.451,932.3,337.632,0.031,0.07
6.493,401.589,45.694,-12.354,52.705,12.506,152.345,0.047,152.345,0.018,26.264,1.946,49.217,16.501,9.808,0.115,-1.819e-4,9.74,0.057,856,166,0.024,8.095e-4,545,417,2.026,0.164,2.48e6,0,2.737,0.5,0.5,0.224,0.153,0.123,0.027,0.053,-1.547e-4,0,0,0,0,9.723e-4,0.006,63,30,55.691,0.028,5.007,10.44,932.1,337.625,0.038,0.07
6.543,403.858,45.072,-12.492,52.122,12.597,153.656,0.048,153.656,0.018,26.176,1.627,49.217,16.501,9.808,0.115,-1e-4,-8.938,0.025,856,166,0.024,8.095e-4,545,417,2.025,0.162,2.454e6,0,2.679,0.5,0.5,0.224,0.153,0.123,0.031,0.064,1.284e-4,0,0,0,0,-8.362e-4,0.006,63,30,55.176,0.029,5,10.425,931.8,337.616,0.05,0.07
6.593,406.096,44.448,-12.405,51.543,12.515,154.963,0.048,154.963,0.018,26.097,1.656,49.217,16.501,9.808,0.057,-8.743e-5,-6.532,-0.017,856,166,0.024,8.095e-4,545,417,2.026,0.161,2.433e6,0,2.631,0.5,0.5,0.224,0.153,0.123,0.024,0.048,-4.075e-4,0,0,0,0,-4.546e-4,0.006,63,30,54.832,0.03,5.136,10.41,931.6,337.608,0.05,0.071
6.643,408.303,43.829,-12.332,50.968,12.441,156.266,0.049,156.266,0.018,26.015,1.647,49.217,16.501,9.808,0.057,-1.005e-4,-4.813,-0.051,856,166,0.024,8.095e-4,545,417,2.026,0.159,2.407e6,0,2.576,0.5,0.5,0.224,0.153,0.123,0.021,0.043,-5.595e-5,0,0,0,0,-2.513e-4,0.006,63,30,54.546,0.031,5.115,10.396,931.3,337.599,0.05,0.071
6.693,410.479,43.217,-12.169,50.399,12.297,157.564,0.05,157.564,0.018,25.929,1.769,49.217,16.501,9.808,0.035,-1.205e-4,4.24,-0.01,856,166,0.024,8.095e-4,545,417,2.028,0.158,2.382e6,0,2.523,0.5,0.5,0.224,0.153,0.123,0.01,0.02,1.035e-4,0,0,0,0,1.968e-4,0.006,63,30,54.316,0.03,5.127,10.382,931.1,337.59,0.05,0.071
6.743,412.625,42.611,-12.095,49.834,12.222,158.859,0.051,158.859,0.018,25.84,1.759,49.217,16.501,9.808,0.049,-9.792e-5,5.271,0.045,856,166,0.024,8.095e-4,545,417,2.027,0.156,2.356e6,0,2.466,0.499,0.499,0.224,0.153,0.123,0.014,0.029,3.262e-4,0,0,0,0,3.143e-4,0.006,63,30,54.087,0.029,5.06,10.368,930.9,337.582,0.05,0.071
6.793,414.74,42.011,-11.919,49.273,12.072,160.148,0.052,160.148,0.019,25.748,1.917,49.217,16.501,9.808,0.172,-1.276e-4,7.735,-0.014,856,166,0.024,8.095e-4,545,417,2.021,0.155,2.336e6,0,2.425,0.499,0.499,0.224,0.152,0.123,0.052,0.105,1.654e-4,0,0,0,0,6.867e-4,0.005,63,30,53.801,0.03,5.234,10.354,930.6,337.574,0.05,0.071
6.841,416.752,41.435,-12.013,48.737,12.131,161.387,0.053,161.388,0.019,25.659,1.688,49.217,16.501,9.808,0.022,-7.099e-5,10.199,-0.229,856,166,0.024,8.095e-4,545,417,2.028,0.153,2.312e6,0,2.375,0.499,0.499,0.224,0.152,0.123,0.006,0.012,4.694e-4,0,0,0,0,0.001,0.005,63,30,53.342,0.031,5.213,10.341,930.4,337.566,0.048,0.071
6.891,418.809,40.833,-12.057,48.183,12.155,162.668,0.053,162.668,0.019,25.58,1.539,49.217,16.501,9.808,0.057,-1.672e-4,-9.053,-0.115,856,166,0.024,8.095e-4,545,417,2.025,0.152,2.289e6,0,2.328,0.499,0.499,0.224,0.152,0.123,0.024,0.05,-1.465e-4,0,0,0,0,-9.83e-4,0.005,63,30,52.827,0.033,5.267,10.328,930.2,337.558,0.05,0.071
6.941,420.835,40.228,-12.089,47.633,12.17,163.946,0.054,163.946,0.019,25.507,1.4,49.217,16.501,9.808,0.172,-1.762e-4,-6.417,-0.03,856,166,0.024,8.095e-4,545,417,2.021,0.15,2.264e6,0,2.276,0.499,0.499,0.224,0.152,0.123,0.053,0.108,3.386e-4,0,0,0,0,-5.016e-4,0.005,63,30,52.426,0.033,5.21,10.315,929.9,337.55,0.05,0.071
6.991,422.831,39.626,-11.957,47.088,12.048,165.219,0.055,165.219,0.019,25.437,1.476,49.217,16.501,9.808,0.115,-1.657e-4,-3.266,-0.007,856,166,0.024,8.095e-4,545,417,2.024,0.148,2.239e6,0,2.226,0.499,0.499,0.224,0.152,0.123,0.029,0.059,9.805e-5,0,0,0,0,-1.316e-4,0.005,63,30,52.196,0.032,5.165,10.302,929.7,337.542,0.05,0.072
7.041,424.798,39.032,-11.781,46.547,11.89,166.489,0.056,166.489,0.019,25.36,1.606,49.217,16.501,9.808,0.036,-1.312e-4,2.693,0.057,856,166,0.024,8.095e-4,545,417,2.027,0.147,2.213e6,0,2.175,0.498,0.498,0.224,0.152,0.123,0.01,0.021,-4.967e-4,0,0,0,0,9.312e-5,0.005,63,30,52.082,0.03,5.084,10.289,929.5,337.534,0.05,0.072
7.091,426.735,38.45,-11.532,46.012,11.679,167.755,0.057,167.755,0.019,25.272,1.848,49.217,16.501,9.808,0.286,-1.003e-4,5.5,0.001,856,166,0.024,8.095e-4,544,417,2.017,0.145,2.193e6,0,2.135,0.498,0.498,0.224,0.152,0.123,0.078,0.156,-8.909e-5,0,0,0,0,3.98e-4,0.005,63,30,51.91,0.03,5.185,10.276,929.3,337.526,0.05,0.072
7.128,428.149,38.025,-11.531,45.619,11.667,168.689,0.057,168.689,0.019,25.204,1.78,49.217,16.501,9.808,0.229,-1.29e-4,9.397,0.01,856,166,0.024,8.095e-4,545,417,2.018,0.144,2.175e6,0,2.1,0.498,0.498,0.224,0.152,0.123,0.066,0.132,-1.185e-4,0,0,0,0,0.001,0.005,63,30,51.623,0.031,5.156,10.267,929.1,337.521,0.037,0.072
7.176,429.95,37.472,-11.625,45.115,11.731,169.889,0.058,169.889,0.02,25.125,1.58,49.217,16.501,9.808,0.057,-7.093e-5,10.943,-0.051,856,166,0.024,8.095e-4,545,417,2.026,0.143,2.153e6,0,2.057,0.498,0.498,0.224,0.152,0.123,0.018,0.035,-2.278e-4,0,0,0,0,0.002,0.005,63,30,51.108,0.033,5.15,10.255,928.9,337.514,0.048,0.072
7.226,431.809,36.888,-11.687,44.59,11.774,171.143,0.059,171.144,0.02,25.05,1.432,49.217,16.501,9.808,0.057,-2.586e-4,-11.001,-0.022,856,166,0.024,8.095e-4,545,417,2.025,0.141,2.133e6,0,2.018,0.498,0.498,0.224,0.152,0.123,0.019,0.04,-1.058e-4,0,0,0,0,-0.002,0.005,63,30,50.535,0.034,5.233,10.243,928.7,337.506,0.05,0.072
7.276,433.639,36.303,-11.764,44.068,11.831,172.394,0.06,172.394,0.02,24.982,1.262,49.217,16.501,9.808,0.229,-1.397e-4,-9.282,-0.026,856,166,0.024,8.095e-4,545,417,2.019,0.14,2.11e6,0,1.975,0.498,0.498,0.224,0.151,0.123,0.063,0.128,-3.229e-4,0,0,0,0,-0.001,0.005,63,30,50.019,0.034,5.208,10.231,928.5,337.499,0.05,0.072
